title,day,date,start,end,assets,description,place name,street,city,state,zip,geo_longitude,geo_latitude,geo_accuracy
Navy Day with Boys and Girls Club,Friday,7/17/2015,16:30,18:00,Leap Frogs,Navy Parachute Demonstration Team Leap Frogs jump into Navy Day w/Cheyenne Boys and Girls Club,Cheyenne Boys and Girls Club,515 W Jefferson Rd,Cheyenne,WY,82007,-104.8150256,41.11379255,residential
Navy Day with Boys and Girls Club,Friday,7/17/2015,15:00,16:00,NBSW,Navy Band Southwest Brass Quintet performance at Cheyenne Boys and Girls Club,Cheyenne Boys and Girls Club,515 W Jefferson Rd,Cheyenne,WY,82007,-104.8150256,41.11379255,residential
Navy Rock Band Southwest Destroyers Concert at Rhythm on the Rails,Friday,7/17/2015,17:30,20:00,NBSW,Navy Rock Band Southwest Destroyers Performance at Rhythm on the Rails,Depot Plaza,151 W 16th St.,Cheyenne,WY,82001,-104.8144,41.132779,
Navy Rock Band Southwest Destroyers at Frontier Days Parade,Saturday,7/18/2015,10:30,12:00,NBSW,Navy Rock Band Southwest Destroyers Performance at Cheyenne Frontier Days Parade,Capitol Building,Capitol Way,Cheyenne,WY,82001,-104.8202311,41.14024085,public_building
Navy Parachute Demonstration Team Leap Frogs Jump into Cheyenne Frontier Days Rodeo,Saturday,7/18/2015,12:15,13:00,Leap Frogs,Navy Parachute Demonstration Team Leap Frogs Jump into Cheyenne Frontier Days Rodeo,CFD Arena,4610 Carey Ave,Cheyenne,WY,82001,-104.8340766,41.157953,museum
Navy Reserve Centennial at Ft. D.A. Russell Days,Saturday,7/18/2015,13:00,16:00,All,"EOD Robotics Demonstration, USFF Environmental Display and Mascot",F. E. Warren Air Force Base,Old Glory Rd,Warren AFB,WY,82005,-104.860417,41.1391344,residential
Navy Band Southwest Brass Band Concert at Ft. D.A. Russell Days,Saturday,7/18/2015,12:30,14:00,NBSW,Navy Band Southwest Brass Band Concert,F. E. Warren Air Force Base,Old Glory Rd,Warren AFB,WY,82005,-104.860417,41.1391344,residential
Navy Parachute Demonstration Team Leap Frogs Jump into Ft. D.A. Russell Days,Saturday,7/18/2015,15:30,16:30,Leap Frogs,Navy Parachute Demonstration Team Leap Frogs Jump into Ft. DA Russell Days,F. E. Warren Air Force Base,Old Glory Rd,Warren AFB,WY,82005,-104.860417,41.1391344,residential
Navy Parachute Demonstration Team Leap Frogs Jump into Cheyenne Frontier Days Rodeo,Sunday,7/19/2015,12:15,16:00,Leap Frogs,Navy Parachute Demonstration Team Leap Frogs Jump into Cheyenne Frontier Days Rodeo (Photos/Autograph Opportunity),CFD Arena,4610 Carey Ave,Cheyenne,WY,82001,-104.8340766,41.157953,museum
Navy Parachute Demonstration Team Leap Frogs Jump into Cheyenne Frontier Days Rodeo,Monday,7/20/2015,13:00,16:00,Leap Frogs,Navy Parachute Demonstration Team Leap Frogs Jump into Cheyenne Frontier Days Rodeo (Photos/Autograph Opportunity),CFD Arena,4610 Carey Ave,Cheyenne,WY,82001,-104.8340766,41.157953,museum
